,Prompt,Completion
143,"You to Strauss: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up. You to Strauss: Luckily you're too much of a coward to ever do anything alone.","Strauss: I don't want to get into this, please."
164,"You to Strauss: Wipe that snooty look off your face for one minute, will you. Strauss: Have some class, Arthur. Narrative: You defuse the situation. You to Strauss: Hah. You know what, I think i will.",Strauss: Huh?
178,"You to Micah: Just put the knife away, you ain't impressing no one.",Micah: Oh shut up!{walk}
71,You to Susan: Starting to look like home isn't it.,Susan: It's taking shape.
172,You to Micah: You are the creepiest man I know.,Micah: Now that ain't nice Morgan.
141,"You to Strauss: Grettings! Strauss: Greetings! You to Strauss: Putting the world to rights there? Strauss: Trying to, Mr. Morgan. You to Strauss: Dreaming of a future where everyone's every half man half weasel just like you. Strauss: Now that's a little unfair. Narrative: You defuse the situation. You to Strauss: Okay, okay just testing out my boundaries and your's.","Strauss: Then I hope this won't happen again, Mr. Morgan.{angry}"
40,"You to Dutch: Uh oh, Dutch is thinking.Dutch: I'm not even gonna dignify that with a response.You to Dutch: Or maybe you're just staring blankly for effect.Dutch: What are you trying to prove here?You to Dutch: Either way, it aint getting us nowhere.",Dutch: Damn child.{angry}
62,Action: Walking up to Micah.,Micah: Run along cowboy.You: Hmmm
47,You to Dutch: Another day and we are still alive.Dutch: Of course we are.You to Dutch: Despite all your best efforts to kill us all.,Dutch: Yet you're still here.
87,"You to Susan: The old you would have had this place shipshape in a day.Susan: Don't take that tone with me.You to Susan: Well the old you was Dutch's little pet so maybe that helped.Susan: How could you..You to Susan: And he tossed you away, like a toy for someone better.",Susan: Enough Mogan! {walk}
93,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.Susan: Don't start this nonesense.You to Susan: Now you're a number i can't even count up to.",Susan: Why are you acting like this? 
23,"You to Dutch: You good? Dutch: Just can't seem to get a moment's peace.You to Dutch: So, what you doing, staring all that time into space.",Dutch: Am i sensing ideas above your station again?{angry}
28,"You to Dutch: Hope you're working on a plan there.Dutch: Always.You talk to Dutch regarding Blackwater.You to Dutch: On second thoughts, hope you ain't working on any kind of plan at all.You ain't been having a good streak, with those plans of yours.",Dutch: Am i sensing ideas above your station again?{angry}
122,"You to Susan: My Lord, you're old.Susan: Oh, shut up, Arthur.You to Susan: Don't worry i'm just playing with you.Susan: Oh i know this stupid game all too well.You to Susan: And time has done you a few favours.Susan: Is this meant to be funny? You to Susan: Sorry, I dont know why i find this so entertaining.",Susan: Well don't.
175,You to Micah: What kind of stupid goddamn name is Micah anyhow? Micah: You're one to talk. You to Micah: Your mama must've guessed what an ass you'd be.,Micah: And it's only a miracle why yours didn't bury you when you were born.{angry}
97,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.Susan: Don't start this nonesense.You to Susan: Take it easy.I'm just screwing with you.Susan: Well i dont find it very funny.You to Susan: Cause no one else will now, especially not Dutch.",Susan: Disgusting! {walk}
132,Action: You walk by Strauss.,Strauss: Hello Mr. Morgan.{greet}
148,"You to Strauss: You revolt me. Strauss: I don't want to get into this, please. You to Strauss: You grasping, money lending, scum. Strauss: What did i ever do to you? You to Strauss: I should slit your throat.","Strauss: I will have this talk of murder brought to Dutch, I tell you.{walk}"
154,"Narrative: You antagonize Strauss over being a freeloader. You: You little bloodsucker. Strauss: Oh no, not this. You: Goddamn leech. Strauss: Just leave me be, will you. You: Suck us all dry will you. Just like you son.",Strauss: Get away from me!{walk}
85,You to Susan: The old you would have had this place shipshape in a day.,Susan: Don't take that tone with me.
39,"You to Dutch: Uh oh, Dutch is thinking.Dutch: I'm not even gonna dignify that with a response.You to Dutch: Or maybe you're just staring blankly for effect.",Dutch: What are you trying to prove here?
65,Action: You walk into Susan Grimshaw.,You: Forgive me Miss Grimshaw.
105,"You to Susan: There she is, the camp shire horse.Susan: I don't like that tone Arthur.You to Susan: I'm only joking with you.Susan: Little boys and their little games.You to Susan: Who everybody hates.Susan: Just what is your problem?You to Susan: I'm only joking with you.",Susan: Little boys and their little games.{taunt}
81,You to Susan: Managing to keep everyone in line? Susan: I'm doin' my best.You to Susan: Any troublemakers you let me know.,Susan: Okay.{greet}
144,"You to Strauss: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up. You to Strauss: Luckily you're too much of a coward to ever do it alone. Strauss: I don't want to get into this, please. Narrative: You defuse the situation. You to Strauss: Fine fine, can't take a joke can you?","Strauss: Just the fact we don't share each others sense of humor, I suppose."
76,Hi there Arthur.,You: Susan.{greet}
88,You to Susan: The old you would have had this place shipshape in a day.,Susan: Don't take that tone with me.{angry}
51,You to Strauss: Hey Strauss.,"Strauss: Good Morning, Arthur.{greet}"
75,"You to Susan: Miss.You to Susan: Everyone behaving themselves around here? Susan: Hardly.You to Susan: Well, I'm sure you'll have it under control soon.",Susan: Sure.{greet}
64,Action: You walk into Susan.,You: Mind your self Susan.
112,"You to Susan: You are one tough old boot, ain't you.Susan: Oh, shut up Arhur.You to Susan: Take it easy, I aint serious.Susan: Go away.You to Susan: Make me, you wench Susan: Mind your tounge Arthur.You to Susan: Ok, okay.Im minding it now.",Susan: Find someone else to play your games with.{walk}
33,"You to Dutch: You know...you could get out there too, Dutch.Dutch: Just remember who you're talking to.You talk to Dutch using Hosea.You to Dutch: Everyone sees you and Hosea reading.",Dutch: Why are you doing this?
125,"You to Strauss: Hello, Mr. Strauss.","Strauss: Hi, How are you doing Mr. Morgan?{greet}"
43,"You to Dutch: Uh oh, Dutch is thinking.Dutch: I'm not even gonna dignify that with a response.You to Dutch: My bad, been a hard few days.Dutch: Keep acting like that and you won't have any days left at all.You to Dutch: Who's gonna stop me, you?",Dutch: Don't tell me that I didn't warn you.{taunt}
69,"You to Susan: You got everything you need, Miss Grimshaw.","Susan: Not by a long shot Mr.Morgan, we lost a lot in the move."
41,"You to Dutch: Uh oh, Dutch is thinking.",Dutch: I'm not even gonna dignify that with a response.
53,"You to Strauss: Hey Strauss.Strauss: Good Morning, Arthur.You to Strauss: Keep those books full, now.Strauss: I'm trying.You to Strauss: We need every cent we can get.","Strauss: We do indeed, Mr. Morgan.{angry}"
44,"You to Dutch: Uh oh, Dutch is thinking.Dutch: I'm not even gonna dignify that with a response.You to Dutch: Or maybe you're just staring blankly for effect.Dutch: What the hell do you want Arthur.You to Dutch: Okay, okay I'm done now I swear.",Dutch: You better be.{angry}
94,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.Susan: Don't start this nonesense.You to Susan: Now you're a number i can't even count up to.Susan: Why are you acting like this? You to Susan: Look, if you can't take it dont give it out.",Susan: I'm too busy for this nonesense.{walk}
101,"You to Susan: There she is, the camp shire horse.Susan: I don't like that tone Arthur.You to Susan: Who everybody hates.Susan: Just what is your problem? You to Susan: And dreams of killing.",Susan: I know to ignore you when you get like this.{walk}
36,"You to Dutch: Uh oh, Dutch is thinking.This can't be good.Dutch: I'm just impressed you're stringing entire sentences together.You to Dutch: Or maybe you're just staring blankly for effect.",Dutch: Mind your tounge.{angry}
137,Action: You walk by Strauss.,"Strauss: How are you, Mr. Morgan.{greet}"
168,"You to Micah: You creeping no good bastard! Micah: If you got a problem with me, then say it to my face. You to Micah: We would all be better of without you here Micah.",Micah: Mind your tounge Arthur.{angry}
102,"You to Susan: There she is, the camp shire horse.",Susan: I don't like that tone Arthur.
106,"You to Susan: You are one tough old boot, ain't you.","Susan: Oh, shut up Arhur.{angry}"
20,You to Dutch: You good? ,"Dutch: Yes, Arthur."
31,"You to Dutch: Another day another dollar.Dutch: Yes indeed.You to Dutch: So no more master plans okay? You're better of without them.Dutch: I'm just impressed you're stringing entire sentences together.You to Dutch: Alright, simmer down.",Dutch: Another bizare attempt at comradery.
185,"Action: Walking up to Micah. Micah: How you doing, Arthur? You: Fine, Micah. Micah: Good, I've been really worrying about you. I really have. You: Me? Why?","Micah: Oh you know, just the usual reasons. I'm here for you brother."
78,You to Susan: What would we do without you.,"Susan: Turn feral, I imagine."
115,"You to Susan: I've had enough of you, you sour old hag.Susan: What did you say to me?You to Susan: Yes, you heard me right.I called you a sour, old wench.Susan: Why are you acting like this? You to Susan: Because I can and you can't stop me.",Susan: I will have words with Dutch about this.{walk}
166,You to Micah: Just what is your game?,Micah: I just hope I ain't your's!
128,You to Strauss: You ever miss Austria.,"Strauss: Sometimes, I suppose."
181,You to Micah: Don't smile your face might crack.,"Micah: Yeah well, look who's talking."
22,You to Dutch: You good?,Dutch: Just can't seem to get a moment's peace.
14,"You to Dutch: Anything I need to worry about.Dutch: Not right this minute.You to Dutch: Cause, you're always worrying me these days.Dutch: I'm not even gonna dignify that with a response.You to Dutch: It's all good.Calm down.","Dutch: Yeah, very amusing.{giveup}"
147,"You to Strauss: You revolt me. Strauss: I don't want to get into this, please. You to Strauss: You grasping, money lending, scum.","Strauss: Come on, that's enough.{angry}"
158,"You to Strauss: Hey Strauss, they call me mean, but you take the prize.",Strauss: Now there's no need to be rude.
179,You to Micah: Slip and do us a favor.,Micah: This is getting real tiring now.
15,You to Dutch: Anything I need to worry about.,Dutch: Not right this minute.
80,You to Susan: Managing to keep everyone in line?,Susan: I'm doin' my best.
157,You to Strauss: You sicken me. Strauss: I don't want to get into this please. You to Strauss: You foul little wretch. Strauss: Why won't you leave me alone? You to Strauss: We should feed you to the wolves.,Strauss: I will report you to Dutch.{angry}
107,"You to Susan: You are one tough old boot, ain't you.Susan: Oh, shut up Arhur.You to Susan: I mean, you make father time seem like a nasty man.",Susan: When are you going to act your age.{angry}
73,Susan: Hello Arthur.,You: Miss.{greet}
104,"You to Susan: There she is, the camp shire horse.Susan: I don't like that tone Arthur.You to Susan: I'm only joking with you.Susan: Little boys and their little games.You to Susan: Who everybody hates.",Susan: Just what is your problem? {angry}
70,"You to Susan: You got everything you need, Miss Grimshaw.Susan: Not by a long shot Mr.Morgan, we lost a lot in the move.You to Susan: We'll be back on our feet soon.You to Susan: Well I should get back to it.","Susan: Alright then, Arthur.{greet}"
63,Action: Walking up to Micah.,"Micah: You wanna get shot, Morgan?"
55,You to Strauss: Hey Strauss.Strauss: Herr Morgan.You to Strauss: Why are you looking so shifty?,Strauss: I'm not.{angry}
130,"You to Strauss: You ever miss Austria. Strauss: Sometimes, I suppose. You to Strauss: How was life living like a poor, broke peasant. Strauss: Please don't be like this, Mr. Morgan. Narrative: You defuse the situation. You to Strauss: I'm just kidding with ya gramps.",Strauss: You are a strange man sometimes.
34,"You to Dutch: You know...you could get out there too, Dutch.Dutch: Just remember who you're talking to.You talk to Dutch using Hosea.You to Dutch: Everyone sees you and Hosea reading.Dutch: Why are you doing this? You talk to Dutch further.You to Dutch: Just sends the wrong message, if you ask me.","Dutch: Arthur, run away before I do something we both will regret.{taunt}"
165,You to Micah:  Hey if you're looking for your balls they're back in Blackwater.,Micah: You have a stick up your arse? Or think of yourself as such a big man?{angry}
74,You to Susan: Miss.You to Susan: Everyone behaving themselves around here?,Susan: Hardly.
12,"You to Dutch: Anything I need to worry about.Dutch: Not right this minute.You to Dutch: Okay, good.",Dutch: Okay.
150,"You to Strauss: Wipe that snooty look off your face for one minute, will you. Strauss: Excuse me? You to Strauss: You're a vagrant, not an accountant.",Strauss: How else do you expect us to live easily then?
45,"You to Dutch: Uh oh, Dutch is thinking.Dutch: I'm not even gonna dignify that with a response.You to Dutch: Or maybe you're just staring blankly for effect.Dutch: Why are being like this Morgan? You to Dutch: Okay, okay I'm done now I swear.Dutch: Huh, I really worry about your sanity.You to Dutch: So, who was better ol Grimshaw or that lass Annabelle.",Dutch: I've had enough of this.You need to get your head straight you son of a bitch.{walk}
146,You to Strauss: You revolt me.,"Strauss: I don't want to get into this, please."
38,"You to Dutch: Uh oh, Dutch is thinking.",Dutch: I'm not even gonna dignify that with a response.
135,"You to Strauss: Keep those books full, now. Strauss: I'm trying. You to Strauss: You sure ain't any other use to us.",Strauss: Now there's no need to be rude.{angry}
156,You to Strauss: You sicken me. Strauss: I don't want to get into this please. You to Strauss: You foul little wretch.,Strauss: Why won't you leave me alone?
84,You to Susan: Morning to you.,Susan: Hi there.{greet}
67,"You to Susan: What do you think of this palce, Susan?","Susan: An improvement on the last, that's for sure."
25,You to Dutch: Hope you're working on a plan there.,Dutch: Always.
142,"You to Strauss: Bet you never thought you'd end up here, huh.",Strauss: I didn't know where I'd end up.
56,You to Strauss: Hey Strauss.Strauss: Herr Morgan.You to Strauss: Why are you looking so shifty? Strauss: I'm not.You to Strauss: Okay I guess we'll find out.,"Strauss: Splendid, Mr.Morgan."
153,"Narrative: You antagonize Strauss over being a freeloader. You: You little bloodsucker. Strauss: Oh no, not this. You: Goddamn leech.","Strauss: Just leave me be, will you."
29,You to Dutch: Another day another dollar.,Dutch: Yes indeed.
49,"You to Strauss: Bet you never thought you'd end up here, huh.",Strauss: I didn't know where I'd end up.
68,"You to Susan: What do you think of this palce, Susan? Susan: An improvement on the last, that's for sure.You to Susan: Well that ain't too hard.You to Susan: Ok well, lets talk more later.",Susan: Well see you later.{greet}
4,Action: You stand near Dutch for a while.Dutch: Back up a bit will you.Action: You stand near Dutch for a while.,Dutch: Why are you acting like a fool.
2,Action: You stand near Dutch for a while.,Dutch: Can you give me some room here.
66,Action: You approach Susan.,Susan: Good day Mr Morgan.{greet}
46,You to Dutch: Another day and we are still alive.,Dutch: Of course we are.
72,"You to Susan: Starting to look like home isn't it.Susan: It's taking shape.You to Susan: Good Work, Miss Grimshaw. Anyway, I'll head out for a bit now.",Susan: Okay.{greet}
177,"You to Micah: You've kept your mouth shut for five minutes, that's a new record.","Micah: You think you're real funny, don't you?{taunt}"
129,"You to Strauss: You ever miss Austria. Strauss: Sometimes, I suppose. You to Strauss: Cause maybe we'd all be better of if you went there.","Strauss: Please don't be like this, Mr. Morgan."
90,You to Susan: The old you would have had this place shipshape in a day.Susan: Don't take that tone with me.You to Susan: I'm only kidding around.Susan: I't wasn't funny ten years ago and it still isn't now.You to Susan: You're slipping Grimshaw.,Susan: When are you going to learn to shut up.{walk}
136,"You to Strauss: Keep those books full, now. Strauss: I'm trying. You to Strauss: You sure ain't any other use to us. Strauss: Now there's no need to be rude. Narrative: You defuse the situation. You to Strauss: My bad Strauss, won't happen again.",Strauss: Good.
77,You to Susan: Always good to see you.,"Susan: Hi, Mr.Morgan.{greet}"
163,"You to Strauss: Wipe that snooty look off your face for one minute, will you.","Strauss: Have some class, Arthur.{angry}"
42,"You to Dutch: Uh oh, Dutch is thinking.Dutch: I'm not even gonna dignify that with a response.You to Dutch: My bad, been a hard few days.",Dutch: Keep acting like that and you won't have any days left at all.{walk}
134,"You to Strauss: Keep those books full, now.",Strauss: I'm trying.
117,"You to Susan: My Lord, you're old.Susan: Oh, shut up, Arthur.You to Susan: And time has done you a few favours.",Susan: What happened to you?
91,"You to Susan: The old you would have had this place shipshape in a day.Susan: Don't take that tone with me.You to Susan: I'm only kidding around.Susan: I't wasn't funny ten years ago and it still isn't now.You to Susan: You're slipping Grimshaw.Susan: When are you going to learn to shut up.You to Susan: Old age does that to us all dosen't it, you old coot.",Susan: Im too busy for this nonesense.{taunt}
96,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.Susan: Don't start this nonesense.You to Susan: Take it easy.I'm just messing with you.",Susan: Well i dont find it very funny.
103,"You to Susan: There she is, the camp shire horse.Susan: I don't like that tone Arthur.You to Susan: I'm only joking with you.",Susan: Little boys and their little games.{taunt}
89,You to Susan: The old you would have had this place shipshape in a day.Susan: Don't take that tone with me.You to Susan: I'm only kidding around.,Susan: I't wasn't funny ten years ago and it still isn't now.{angry}
131,"You to Strauss: You ever miss Austria. Strauss: Sometimes, I suppose. You to Strauss: Cause maybe we'd all be better of if you went there. Strauss: Please don't be like this, Mr. Morgan. Narrative: You defuse the situation. You to Strauss: I'm just kidding with ya gramps. Strauss: You are a strange man sometimes. You to Strauss: Don't take it to heat, Strauss.","Strauss: I won't, we all have ..off days."
58,"You to Strauss: Putting the world to rights there? Strauss: Trying to, Mr.Morgan.You to Strauss: Well, don't let me disturb you.","Strauss: Take care, Arthur."
98,"You to Susan: I remember when you were Dutch's number one, Miss Grimshaw.Susan: Don't start this nonesense.You to Susan: Take it easy.I'm just messing with you.Susan: Well i dont find it very funny.You to Susan: Always knew you had no sense of humor.Susan: Stop this charade Arthur.You to Susan: Ok, okay.Im done now, I swear.",Susan: I know this stupid game all too well.{angry}
182,"You to Micah: You stir so much shit, I'm surprised your hands ain't stained brown.",Micah: Your mother didn't mind so why should you.
3,Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.
5,Action: You stand near Dutch for a while.Dutch: Back up a bit will you.Action: You stand near Dutch for a while.Dutch: Why are you acting like a fool.Action: You stand near Dutch for a while.,Dutch: You want me to teach you a lesson you'll regret.
37,"You to Dutch: Uh oh, Dutch is thinking.This can't be good.Dutch: I'm just impressed you're stringing entire sentences together.You to Dutch: Or maybe you're just staring blankly for effect.",Dutch: Mind your tounge.You Ungratefull bastard.{walk}
162,"You to Strauss: You sicken me. Strauss: Please dont be like this Mr. Morgan. Narrative: You defuse the situation. You to Strauss: Take it easy, I'm just needling you.",Strauss: Okay. Em alright then.
127,"You to Strauss: You ever miss Austria? Strauss: Sometimes, I suppose. We can go there sometime, If you like.","Strauss: Thank you for the offer, but I'm good here for now Mr. Morgan."
161,You to Strauss: You sicken me.,Strauss: Please dont be like this Mr. Morgan.
138,You to Strauss: Grettings!,Strauss: Greetings!{greet}
152,Narrative: You antagonize Strauss over being a freeloader. You: You little bloodsucker.,"Strauss: Oh no, not this."
57,You to Strauss: Putting the world to rights there?,"Strauss: Trying to, Mr.Morgan."
26,You to Dutch: Hope you're working on a plan there.Dutch: Always.You to Dutch: Anyway I won't disturb you.,Dutch: Ok.
169,You to Micah: Ah stinks of coward right around here.,Micah: You got such a chip on your shoulder don't you?
50,"You to Strauss: Bet you never thought you'd end up here, huh.Strauss: I didn't know where I'd end up.You to Strauss: Funny how things turn out.","Strauss: Sounds good, Mr.Morgan."
151,"You to Strauss: Wipe that snooty look off your face for one minute, will you. Strauss: Why so rude. You to Strauss: You're a vagrant, not an accountant. Strauss: Time's are changing Mr. Morgan. One can not do what we do without monitoring funds. You to Strauss: I swear, you must have callouses from patting your back.",Strauss: Leave me be!{walk}
184,"Action: Walking up to Micah. Micah: Oh, hey Arthur. You: What you want, Micah? Micah: Nothing. I'm just being civil, my brother. You: Well, hello there.","Micah: You really are a very charming man, aren't you?"
17,"You to Dutch: Anything I need to worry about.Dutch: Not right this minute.You to Dutch: Cause, you're always worrying me these days.Dutch: When are you going to remove that chip from your shoulder?You to Dutch: No need to get your panties in a twist.I was only kidding around.",Dutch: Is that your idea of a sense of humor.{angry}
114,"You to Susan: I've had enough of you, you sour old hag.Susan: I don't like that tone, Arthur.You to Susan: No one care's about my tone but you, you sour, ugly, old fool.",Susan: Why are you acting like this? {angry}
61,Action: Walking up to Micah.,"Micah: Oh look, the big dog is here.You: Fool."
108,"You to Susan: You are one tough old boot, ain't you.Susan: Oh, shut up Arhur.You to Susan: I mean, you make father time seem like a nasty man.Susan: When are you going to act your age.You to Susan: Act my age? If you start acting like your's, you'd be nothing but dust and bones.",Susan: Leave me be Morgan.{walk}
100,"You to Susan: There she is, the camp shire horse.Susan: I don't like that tone Arthur.You to Susan: Do you think anyone give's a shit about what you think of my tone?",Susan: Just what is your problem? {angry}
24,"You to Dutch: You good? Dutch: Just can't seem to get a moment's peace.You to Dutch: So, what you doing, staring all that time into space.Dutch: Am i sensing ideas above your station again?You to Dutch: Okay, okay.Don't start pulling rank boss.",Dutch: Don't act like someone who I need to pull rank on then.{walk}
