,Source
1485,New York Magazine
2217,TVbytheNumbers
1545,Gizmodo UK
1484,Modern Readers
1923,BGR
70,SlashGear
2743,Techsonian \(press release\)
1021,RopeofSilicon.com
922,Reality TV World
1326,Headlines \& Global News
951,USA TODAY
1426,Digital Trends
584,Windsor Star
1503,Newsmax.com
1472,MSN NZ News
837,Forbes
1690,MotoringCrunch
285,UPI.com
2231,Boston Globe
1570,Press Trust of India
2514,The Asian Age
1754,VentureBeat
2424,WebProNews
1844,VentureBeat
2495,Forbes
452,Denver Post
523,Android Headlines - Android News
77,NEWS.com.au
537,Metro
2733,ScreenCrush
1257,India Today
1234,Variety
1268,Hollywood.com
1247,Benzinga
1902,Capital FM
496,gulfnews.com
1591,Philly.com \(blog\)
2512,International Business Times UK
2112,Business Today
450,UPI.com
1270,iWantPop
1639,ITProPortal
170,Canadian Manufacturing
60,Macworld
545,Pocket-lint.com
50,Businessweek
1221,A.V. Club \(blog\)
1405,Inquirer
1322,Wonkette \(satire\)
49,Vibe
1041,The Guardian
1061,Interactive Investor
1661,JamBase
841,Businessweek
1538,Manufacturing.net
26,NDTV
2238,Peninsula On-line
1906,WBAL Radio
1875,Sky News Australia
964,A.V. Club Denver\/Boulder
1848,Co.Design
369,Evening Standard
1918,Motley Fool
2426,Daily Mail
2137,Bloomberg
1521,Life \& Style Weekly
858,The Province
2410,"International Business Times, India Edition"
2565,TODAYonline
1427,Vulture
245,TidBITS
933,New York Post
599,CarterMatt.com
1439,StarPhoenix
2100,RT
1150,Businessinsider India
2744,Christian Science Monitor
358,New York Daily News
2521,VG247
1212,BGR
1896,Bloomberg
2353,Sowetan
1532,Radar Online
726,Herald Scotland
2318,Latin Times
2005,Irish Independent
1085,The Japan News
2262,Christian Post
695,MotoringCrunch
1252,Wired
554,Businessinsider India
719,PC Magazine
1251,Slate Magazine \(blog\)
2175,TIME
810,Contactmusic.com
2469,Press Herald
1686,The Guardian
2697,MTV.com
1817,CarterMatt.com
2250,SiliconANGLE \(blog\)
127,Contactmusic.com
901,Fox News
877,Capsule Computers
636,USA TODAY
416,The Escapist
882,International Business Times
1660,The Plain Dealer
911,Macgasm
512,Businessweek
1859,Law360 \(subscription\)
350,Co.Exist
2063,ValueWalk
305,Zimbio
807,Tom's Guide
2180,Los Angeles Daily News
832,Broadway World
1511,Entrepreneur
1769,CarterMatt.com
1388,The Independent
224,The Herald-Times \(subscription\)
1396,New York Post
2616,ITV News
461,PC Magazine
1476,Broadway World
88,ITV News
2085,International Business Times UK
639,NBC Bay Area
271,Jezebel
2182,Business Insider
296,Mashable
818,TIME
1776,The Inquisitr
426,New York's PIX11 \/ WPIX-TV
486,Contactmusic.com
920,Stuff.co.nz
2295,Al-Bawaba
2268,Newsday
2662,TIME
673,MTV.com
1785,Papermag
2533,Inrumor
351,TechCrunch
2527,Sydney Morning Herald
2740,Computerandvideogames.com
2522,Yahoo Movies \(blog\)
284,PopCrush
1109,SheKnows.com
1970,Contactmusic.com
1390,TechRadar UK
1205,O'Dwyer's PR News
19,TIME
631,BBC News
662,Bloomberg
1459,Mother Nature Network \(blog\)
1972,ZDNet
1709,Latin Post
2236,Variety \(blog\)
2477,Entertainment Weekly
2645,TechGeek
1831,Computerworld
1735,Telemanagement
2042,Hypable
1337,Vulture
1783,Montreal Gazette
699,CNBC.com
1185,Advanced Television
1981,New York Magazine
1634,AceShowbiz
1129,The Guardian
223,Hollywood Life
619,Game Front
2351,VentureBeat
1398,The Japan News
309,CNBC.com
2068,TruthDive
1845,International Business Times UK
2203,D Magazine
952,The Escapist
2322,TechRadar UK
352,Bloomberg View
1421,FierceWireless
1246,International Business Times UK
666,CNNMoney \(press release\)
2416,New York Daily News
1856,CNET
1562,The Malay Mail Online
1151,gulfnews.com
778,Liliputing
2386,NEWS.com.au
803,GamingBolt
1300,Radar Online
196,BuddyTV
178,USA TODAY
2363,The News Ledge
1305,Virtual Press Office \(press release\)
1748,Winston-Salem Journal
2177,Mashable
1149,hellomagazine.com
687,Contactmusic.com
132,myfox8.com
348,Lancaster Newspapers
1995,FXstreet.com
1791,International Business Times UK
1497,FashionUnited.co.uk
2715,Entertainmentwise
313,Computerworld Australia
655,CBS News
393,Globalnews.ca
2589,BBC News
2549,Mother Nature Network \(blog\)
1312,Independent Online
181,Peninsula On-line
437,NZ City
509,AceShowbiz
2078,DailyFinance
1001,Gospel Herald
1108,Variety
188,Latin Post
1641,Jobs \& Hire
2229,Latino Post
1948,The Inquisitr
1784,hellomagazine.com
1292,WDRB
1028,bnn.ca
1077,Contactmusic.com
2532,Bangkok Post
504,Hot Hardware
1643,GMA News
1071,New Jersey 101.5 FM Radio
1046,I Am Rogue.com
2732,Newsday
1820,GameSpot
775,International Business Times UK
1956,CBS Local
1760,BBC News
1118,Motley Fool
122,Wired
1847,Bangkok Post
287,Daily Political
2408,Classicalite
2056,The Epoch Times
2138,Reality Rewind
2568,USA TODAY
2144,Reality TV World
2092,MobileSyrup.com
2748,Variety \(blog\)
1990,TechSpot
375,ModVive
1604,The Hill \(blog\)
571,Hollywood Life
2504,Hindu Business Line
2591,Investorplace.com
1308,Bloomberg View
2536,The Malay Mail Online
207,24\/7 Wall St.
1128,Computerworld Australia
2209,New York's PIX11 \/ WPIX-TV
124,The Hollywood Gossip
289,VatorNews
592,Daily Life
1542,BetaNews
1805,WebProNews
2605,Libya Herald
2302,Contactmusic.com
281,GeekWire
2365,Focus News
261,TV.com
368,MyDaily UK
1349,The Times Herald
622,International Business Times
1037,Businessweek
2428,MSN Money
647,The Oregonian
1494,Press Herald
1835,Latin Post
1060,Engadget
292,iWantPop
1806,Macgasm
1329,Newser
1592,CBC.ca
2012,Independent Online
434,The Independent
2462,RTE.ie
1490,ITV News
1886,The Guardian
166,PopCrush
66,Town Hall
1955,AusGamers
1768,Castanet.net
761,Life \& Style Weekly
1569,Us Magazine
2492,Lancaster Newspapers
235,BREATHEcast
1872,Business Spectator
962,Worcester Telegram
1402,The Star-Ledger
1123,Macgasm
1677,Telemanagement
1565,DeveloperTech
1172,Eurogamer.net
1642,Evening Standard
856,Paste Magazine
2216,The Patriot-News
384,Den of Geek \(US\)
1674,Entertainmentwise
1812,TooFab.com
2311,WCCFtech
303,Hollywood Reporter
615,USA TODAY
1746,Newsday
770,The Sun
103,Cambio
2444,Bollywood Life
2235,Toronto Star
755,The Asian Age
1097,Daily Mail
2523,CNET
544,Boston Globe
1465,Christian Science Monitor
1517,Daily Beast
2639,New York Daily News
654,The Independent
2419,BBC News
189,TheWrap
1646,Deadline.com
928,SBS
1818,Gamenguide
1103,Toronto Sun
1627,Forbes
1319,Digital Spy
2509,Reality TV World
2167,Investorplace.com
526,Refinery29
1159,Latin Post
2693,TechRadar UK
1417,CP24 Toronto's Breaking News
2520,NDTV
2298,LALATE
625,New York Post
1237,FinFacts Ireland
577,The Verge
155,Venture Capital Post
1852,The Hollywood Gossip
391,Joystiq
2347,San Jose Mercury News
750,The Epoch Times
1254,Computerandvideogames.com
1317,Businessweek
2505,io9
24,Ottawa Citizen
162,Reality TV World
2156,The Hill \(blog\)
881,PJ Media
1263,GameSided
339,Global Times
1187,CNN \(blog\)
2626,Zimbio
2040,Parent Herald
456,Nickutopia
2694,NDTV
1704,International Business Times
1583,MarketWatch
661,TopNews United States
1474,CMR
1799,Wired
317,NowGamer
359,Inquirer
564,Mac Rumors
2331,International Business Times
1625,iWantPop
2614,Hypable
1701,The Guardian
2275,Enstarz
312,Newser
293,Q13 FOX
713,BBC News
314,The Periscope Post
648,Forbes
2249,Latin Post
923,The Malay Mail Online
2123,Deadline.com
2200,TIME
1969,Metro
1647,Boston Globe
1507,Irish Times
1008,Motley Fool
2105,Sydney Morning Herald
306,Jezebel
1632,Ticker Report
929,NEWS.com.au
2524,fuse.tv
1550,ANSAmed
1364,Middletown Press
14,CNBC.com
893,STLtoday.com
2034,ModVive
828,About - News \& Issues
2270,Ticker Report
529,The Globe and Mail
2211,Total Film
419,Digital Spy
1599,The Star-Ledger
319,Digital Trends
2160,Headlines \& Global News
2047,The Mary Sue
2183,Engadget
2634,Platts
1113,Ticker Report
1177,Forbes
392,New York Daily News
1294,WebProNews
1932,BGR India
983,Mediaite
1239,Focus News
1196,Paste Magazine
879,Geeky gadgets
1233,Zimbio
859,PopCrush
268,Bloomberg View
1126,MSN Money
2458,GamingBolt
2690,Christian Science Monitor
425,Today's iPhone
226,SlashGear
366,mediabistro.com
1387,Forbes
2650,Top Tech News
9,Kingston Daily Freeman
2069,The Guardian
1298,ValueWalk
984,AceShowbiz
322,Capsule Computers
992,UPI.com
2529,Castanet.net
310,MarineLink
438,Business Standard
2722,Bloomberg
109,MarketWatch
1771,Businessinsider India
125,Mediaite
704,Businessweek
2718,Yahoo News
2629,Deadline.com
2745,Latin Post
1841,SlashGear
106,MTV.com
2494,The Star Online
1457,Latinos Post
119,TVbytheNumbers
2437,Sydney Morning Herald
2164,NBC Southern California
1279,The Southland Times
1325,Daily Mail
763,indiatvnews.com
1050,Latin Times
2033,Online Athens
2569,gulfnews.com
1725,TheDay.com \(blog\)
2703,CBC.ca
948,NEWS.com.au
1315,VentureBeat
1477,Contactmusic.com
691,WDRB
2540,Forbes
2655,TooFab.com
1960,The Plain Dealer
315,Businessinsider India
608,Billboard
474,San Jose Mercury News
1225,Refinery29
46,Forbes
908,Businessweek
1438,Quartz
1136,bnn.ca
568,"International Business Times, India Edition"
91,Mideast Time
709,Businessweek
2007,Benzinga
1657,AceShowbiz
1881,Uproxx
820,Motley Fool
2274,International Business Times
1255,The Stir
2720,The Hollywood Gossip
2734,Washington Times
2488,Extra
278,Irish Times \(blog\)
72,gulfnews.com
2498,Deadline.com
404,Central Banking \(subscription\)
600,Sky News Australia
2608,Businessweek
1940,Herald Scotland
515,TIME
1895,SlashGear
1986,The Koalition
2730,Music Times
2516,MyBroadband
1793,International Business Times
1910,MyBroadband
209,BuddyTV
752,Independent Online
541,MacroBusiness \(blog\)
1143,The Inquisitr
1890,New York Daily News
387,The Star-Ledger
2263,iWantPop
2457,Refinery29
1449,Travel Weekly
396,KMBC Kansas City
202,Us Magazine
1074,Hollywood Reporter
607,NEWS.com.au
534,Gizmodo UK
2499,The Stir
440,GossipCop
211,Houston Press \(blog\)
506,Ticker Report
2670,Geeky gadgets
812,gulfnews.com
2139,Newser
2241,iWantPop
1112,Businessweek
87,Uproxx
2169,The Hill \(blog\)
2277,CarterMatt.com
21,The Star-Ledger
2358,Overclockers Club
1460,Us Magazine
2567,SheKnows.com
2468,Dubuque Telegraph Herald
995,Philadelphia Magazine \(blog\)
903,Latin Times
2417,ANSAmed
2163,The Star-Ledger
906,Ocala
1310,Telemanagement
2272,CNNMoney
1901,Virtual Press Office \(press release\)
1216,Businessweek
2427,KTVN
470,gulfnews.com
2713,Times of India
79,RTT News
2672,CNN \(blog\)
1080,Daily Beast
927,International Business Times UK
1289,Bloomberg
1973,ITProPortal
2471,Financial Post
390,Hollywood Reporter
2214,MSN NZ News
1620,Joystiq
734,Manufacturing.net
1943,iClarified
705,Snark Food
2352,The Birmingham News - al.com
311,CNBC.com
213,TheChronicleHerald.ca
1984,Businessweek
2726,New York Daily News
1267,WKRB News
905,USA TODAY
1780,Town Hall
1802,Mideast Time
1911,Austin Chronicle
1366,SlashGear
195,The Star-Ledger
1433,RTE.ie
497,TmoNews
936,Dose.ca
283,Computerandvideogames.com \(blog\)
1010,Latin Post
1204,The Plain Dealer
1341,I Am Rogue.com
587,Wired.co.uk
1015,24\/7 Wall St.
602,Belfast Telegraph
1296,Financial Post
2742,Bloomberg
1678,USA TODAY
693,TheStreet.com
2604,The Guardian
875,NEWS.com.au
459,The Japan Times
2659,NYU Washington Square News
1372,Den of Geek \(US\)
2048,Sugarscape
2450,www.worldbulletin.net
1463,Mobile Burn
2370,Variety
300,The Voice of Russia
605,Seattle Post Intelligencer \(blog\)
2227,Bollywood Life
1501,Businessweek
2562,Today's iPhone
2053,MarketWatch
436,Newstalk ZB
549,NZ City
1078,Geeky gadgets
1537,People's Daily Online
2297,Modern Readers
1670,Business Insider
2083,Wall Street Journal
2064,Winsford Guardian
2067,tuaw.com
1774,Auto World News
2436,Cinema Blend
1673,Businessweek
572,BDlive
1689,Contactmusic.com
1226,Yahoo Movies \(blog\)
2454,PC Magazine
586,NDTV
360,RedEye Chicago
95,iSource
2323,The Star Online
1615,gulfnews.com
1213,hypebot.com
2194,The News Ledge
716,Dose.ca
2299,RollingStone.com
356,USA TODAY
1286,Fox News
2503,CNN
1887,Independent Online
1163,Total Film
1478,International Business Times UK
1203,Daniels Trading
2607,Mediaite
2593,Geekosystem
2701,Reality TV World
465,Gamepur
934,CBS Local
1539,The Inquisitr
38,Mac Rumors
996,fuse.tv
2543,NEWS.com.au
2658,Express.co.uk
2566,VentureBeat
40,Tech Times
2556,SlashGear
173,Gameranx
756,TIME
2465,Peninsula On-line
1564,Global Times
652,Parade
1585,BBC News
596,MyBroadband
1823,MarketWatch \(blog\)
1354,STLtoday.com
912,Mashable
1931,Big Hollywood
800,Newsday
163,Fox News
1767,The West Australian
1653,Android Authority
2127,Space.com
62,Us Magazine
869,Stuff.co.nz
2648,9 to 5 Mac
2651,Metalbulletin.com \(subscription\)
1067,Investorplace.com
2288,Ubergizmo
1597,OS News
1335,The Japan News
1094,The Mary Sue
54,TheStreet.com
1928,Metro
520,ZDNet
771,Mideast Time
1635,LALATE
1687,We Got This Covered
1649,CarterMatt.com
2338,WKBT La Crosse
2747,Investorplace.com
2710,Daily Beast
791,Movie Fanatic
2575,Quartz
1441,Seattle Post Intelligencer \(blog\)
2461,RTE.ie
1110,Newser
1598,ValueWalk
1408,Hollywood Reporter
2099,Seattle Post Intelligencer \(blog\)
2076,Daily Mail
2602,Canadian Manufacturing
1409,Reality TV World
1189,eNCA
985,PCR-online.biz
1368,Gulf Times
408,Ticker Report
601,Business Insider
970,E Canada Now
723,DailyFinance
442,MediaPost Communications
298,iNVEZZ
149,The Malay Mail Online
2395,Ubergizmo
1811,The Stir
1191,Financial Post
3,Snark Food
593,Stereogum
2704,Irish Independent
347,Denver Post
1996,PC Magazine
946,Contactmusic.com
270,Fibre2fashion.com
386,RopeofSilicon.com
276,The Stir
715,New York Post
1926,D Magazine
249,BBC News
1967,WRAL Tech Wire
490,The Post-Standard
1392,Toledo Blade
1481,Softonic EN
2287,The Verge
1378,Daily Mail
1589,Refinery29
1541,GossipCop
255,Bidness Etc
423,TopNews New Zealand
2018,24\/7 Wall St.
1219,India Today
1961,The Hill \(blog\)
316,Entertainment Weekly
913,KFBK
1157,STLtoday.com
2665,VentureBeat
16,MarketWatch
2684,ValueWalk
740,Denver Post
2413,NEWS.com.au
1003,Evening Standard
2321,Side Mission
2220,SegmentNext
371,Local 10
2159,Newsday
186,Cambio
1007,Los Angeles Daily News
1645,just-style.com
1220,Latino Post
2077,tuaw.com
1377,Daily Beast
1147,The Patriot-News \(blog\)
191,Hollywood Reporter
637,Motley Fool
1788,Us Magazine
1201,The Grio
2234,The Almagest
1952,RollingStone.com
632,Newsmax.com
1782,Forbes
1016,Gamasutra
956,Christian Science Monitor
381,Bloomberg
1588,Irish Examiner
1883,Gadget Insiders
610,Hollywood Reporter
745,kdvr.com
846,The Star Online
706,PCGamesN
1974,Sydney Morning Herald
140,Waterloo Record
646,24\/7 Wall St.
342,Digital Spy
1756,RollingStone.com
2115,myfox8.com
1135,International Business Times
2052,USA TODAY
2473,Latin Times
729,Hollywood Reporter
1063,Telegraph.co.uk
2654,The Consumerist
1525,Milwaukee Journal Sentinel
1711,Yahoo TV \(blog\)
2531,Sky News Australia
2669,Franchise Herald
1138,University Herald
477,Explosion
1249,Vulture
2161,Attack of the Fanboy
2719,DailyFinance
2148,Indian Express
1130,CNNMoney
1644,PCR-online.biz
346,Daily Mail
1718,International Business Times UK
2307,Al-Bawaba
1553,Express.co.uk
1384,Geekosystem
2314,The Epoch Times
836,Mashable
1091,Papermag
279,"International Business Times, India Edition"
2021,The Southland Times
885,The Inquisitr
105,Vulture
1832,Phandroid.com
111,ClaimsJournal.com
1535,The Northern Echo
2737,Uproxx
2610,MarketWatch \(blog\)
1616,Business Insider
1447,The Outhouse
1623,Forbes
2037,TechnoBuffalo
2142,Business Standard
1546,Seattle Post Intelligencer \(blog\)
1781,Auto World News
731,VG247
73,Kotaku
2348,GeekWire
2644,Baystreet.ca
495,GamingBolt
1979,Joystiq
1684,Businessweek
2714,Latin Post
1197,Reality TV World
2247,Gameranx
1747,Variety
2546,New York Post
1700,KCRA Sacramento
415,The Periscope Post
776,CBC.ca
1617,Peninsula On-line
1929,The Verge
1549,ExtremeTech
101,TIME
1361,Times LIVE
2597,CNET
762,Computerandvideogames.com
826,Fox News
2542,Interactive Investor
1966,Reality TV World
2291,Big Hollywood
1828,Livemint
1659,WebProNews
152,Uproxx
1455,Extra
2266,Newser
1759,Venture Capital Post
711,NBC Southern California
838,Vanity Fair
1414,The Fiscal Times
2089,WDRB
1708,ValueWalk
2036,iNVEZZ
720,WSET
2528,Bloomberg
942,Metal.com News
926,Daily Life
466,Forbes
1764,CBS News
2430,Hindu Business Line
1453,Stereogum
171,International Business Times
749,New York Daily News
1876,The Escapist
1338,BuzzFeed
27,mxdwn.com
1595,Digital Spy UK
2445,CarterMatt.com
2327,Fox News
1019,Businessweek
1202,STLtoday.com
1064,KMBZ
2582,The Periscope Post
2643,International Business Times
2168,Telegraph.co.uk
1407,24\/7 Wall St.
42,Broadway World
2519,Side Mission
2290,Fibre2fashion.com
2025,International Business Times
1631,Reality TV World
1908,TIME
627,Bloomberg View
1158,CTV News
29,fox6now.com
453,V3.co.uk
1819,Reality TV World
2038,Global Times
508,International Business Times
1284,Gamepur
1328,Los Angeles Daily News
2165,10TV
1410,Deadline.com
1331,RTT News
241,New York Magazine
567,WebProNews
535,Product Reviews
1977,Cinema Blend
1258,Mac Rumors
1164,TechnologyTell
739,TheWrap
754,Huntington Herald Dispatch
2431,Entertainment Weekly
59,Businessweek
649,J-14 Magazine
1207,TODAYonline
1954,Billboard
609,Contactmusic.com
1330,Automotive News
1415,Politix
2399,Bidness Etc
961,HyperVocal
2560,Tech Times
1275,Idolator\: All About The Music
924,TheHDRoom
1306,Sydney Morning Herald
2201,The Times Herald
2638,Christian Post
2576,Science 2.0
1957,The Sun
1168,Binary Tribune
2738,Venture Capital Post
725,UPI.com
2433,The Plain Dealer
1045,Music and Lyrics
764,Toronto Star
2157,The Independent
1726,Metalbulletin.com \(subscription\)
528,City Index
85,WDRB
2439,The Grio
1336,USA TODAY
935,Toronto Star
1432,Yahoo\!7 News
2534,Politico
1134,Tuscaloosa News \(subscription\)
154,Headlines \& Global News
794,VG247
337,TopNews United States
7,Waterloo Record
965,Fox News
2028,Music Times
753,BDlive
930,ZDNet
481,AVAFIN
185,FXstreet.com
168,Businessweek
463,Financial Post
505,Contactmusic.com
1655,Eagle-Tribune
1169,Contactmusic.com
1339,Us Magazine
2016,Us Magazine
1137,The Globe and Mail
2619,Ubergizmo
1469,Auto World News
1903,Product Reviews
1766,SheKnows.com
2035,Techsonian \(press release\)
2046,Tech Times
2564,TVWise
2146,tuaw.com
2058,\/FILM
2109,Sydney Morning Herald
334,International Business Times UK
454,Newsday
1891,AppAdvice
2096,Contactmusic.com
852,Entertainment Weekly
2174,DeveloperTech
1916,Bloomberg
1442,Broadcasting \& Cable
1227,CBC.ca
1530,Businessinsider India
1612,CBS Local
90,Entertainment Weekly
1431,Entertainment Weekly
2683,New York Post
1512,International Business Times UK
797,The Frisky
1777,Rigzone
55,CarterMatt.com
2162,Latinos Post
1314,The Verge
2002,Daily Mail
1871,Sky News Australia
1271,Huntington Herald Dispatch
117,Firstpost
2579,Bleeding Cool News
1009,Yahoo\!7 News
516,The Stir
2226,Yahoo Finance \(blog\)
1032,Forbes
1224,MediaPost Communications
1422,Contactmusic.com
606,Explosion
788,Daily Gadgetry
18,Mother Nature Network
1066,Contactmusic.com
1475,NBC Bay Area
2258,The Epoch Times
291,TrustedReviews
2418,The Stir
439,Newsday
1356,Financial Post
2221,TravelersToday
688,Businessinsider India
32,Wall Street Journal
1369,Contactmusic.com
741,antiMUSIC.com
973,Student Operated Press
2101,Engadget
218,The Outhouse
1011,stv.tv
1190,The BoomBox
333,Digital Trends
576,The Guardian
1411,Deadline.com
1111,Daily Mail
2646,The Japan News
349,Broadway World
151,CBS News
2141,USA TODAY
2210,Independent Online
1133,Business Insider
868,Guyism
988,People's Daily Online
1096,International Business Times
2259,Game Front
159,Businessweek
1978,TooFab.com
1907,TechCrunch
1024,Independent Online
2143,Business Insider
2308,TIME
180,South China Morning Post
2432,Sydney Morning Herald
1556,International Business Times
2590,NowGamer
1229,Toronto Star
1941,TheStreet.com
2583,Opptrends
1651,Shacknews
1755,RTT News
2106,Expert Reviews
895,AusGamers
2470,Platts
960,Reality Rewind
2472,E Canada Now
1584,GossipCop
354,Wired
2300,The Guardian
2723,Geekosystem
2296,Reveal
395,FITSNews
1878,Science Fiction
1945,International Business Times
248,RTT News
1905,MSN NZ News
958,kfor.com
2367,TODAYonline
318,Latin Post
1488,VentureBeat
2682,San Jose Mercury News
1809,Tech Times
1360,Newser
990,The Nation. \(blog\)
1483,ReadWrite
679,CarterMatt.com
957,Mashable
380,Metalbulletin.com \(subscription\)
582,CBS Local
1047,Franchise Herald
844,AOL Autos
1004,Noisey \(blog\)
2224,io9
1743,HitFix
2369,Businessinsider India
2603,WRCB-TV
833,ValueWalk
1458,The Gamer Headlines
798,Vulture
1348,South China Morning Post
1804,Businessweek
2633,www.worldbulletin.net
1076,NPR \(blog\)
2124,Hollywood.com
1036,Businessinsider India
1429,RollingStone.com
2030,Motley Fool
2285,Ahram Online
2086,Yahoo TV \(blog\)
130,TheStreet.com
907,Gawker
2448,MSN Money
1375,The Almagest
1030,Globalnews.ca
363,Hollywood Reporter
1025,USA TODAY
1514,SlashGear
701,Businessweek
847,Enstarz
1685,Boston Globe
1749,Businessweek
1770,Latin Times
1006,ValueWalk
1259,V3.co.uk
2340,GameSpot
1763,CrazyEngineers
144,Deadline.com
221,Ars Technica
2260,Cinema Blend
2618,Noise11
2518,CNBC.com
2020,Heritage Newspapers
