,Source
353,Milwaukee Journal Sentinel
354,Wired
355,LAPTOP Magazine \(blog\)
356,USA TODAY
357,BBC News
358,New York Daily News
359,Inquirer
360,RedEye Chicago
361,The Globe and Mail
362,OS News
363,Hollywood Reporter
364,The Escapist
365,Law360 \(subscription\)
366,mediabistro.com
367,The Province
368,MyDaily UK
369,Evening Standard
370,Reality TV World
371,Local 10
372,Baltimore Sun \(blog\)
373,Independent Online
375,ModVive
376,Motley Fool
377,World Internet TV on PC \(blog\)
379,BDlive
380,Metalbulletin.com \(subscription\)
381,Bloomberg
382,Motley Fool
383,Latin Times
384,Den of Geek \(US\)
385,WBAL Radio
386,RopeofSilicon.com
387,The Star-Ledger
388,Herald Scotland
389,TopNews New Zealand
390,Hollywood Reporter
391,Joystiq
392,New York Daily News
393,Globalnews.ca
394,RTE.ie
395,FITSNews
396,KMBC Kansas City
397,GossipCop
398,autoevolution
399,UPI.com
400,CBS News
401,Capital FM
402,Broadcasting \& Cable
403,10TV
404,Central Banking \(subscription\)
405,Engadget
406,A.V. Club \(blog\)
407,Wall St. Cheat Sheet
408,Ticker Report
409,Benzinga
410,Top Tech News
411,The News International
412,Top Tech News
413,Latin Post
414,Slate Magazine \(blog\)
415,The Periscope Post
416,The Escapist
417,The Oregonian
418,MSN Money
419,Digital Spy
420,Hollywood Reporter
421,Bloomberg View
422,Daily Beast
423,TopNews New Zealand
424,Minneapolis Star Tribune
425,Today's iPhone
426,New York's PIX11 \/ WPIX-TV
427,the Diplomat
428,Online Athens
429,Motley Fool
430,Fast Company
431,MSN Money
432,marie claire magazine Australia
434,The Independent
435,About - News \& Issues
436,Newstalk ZB
437,NZ City
438,Business Standard
439,Newsday
440,GossipCop
441,GeekWire
442,MediaPost Communications
443,ScreenCrush
444,Headlines \& Global News
445,The Post-Standard \(blog\)
446,The Independent
447,Daily Mail
448,CNNMoney
450,UPI.com
451,Business Standard
452,Denver Post
453,V3.co.uk
454,Newsday
455,TechSpot
456,Nickutopia
457,Latin Post
458,Sydney Morning Herald
459,The Japan Times
460,TIME
461,PC Magazine
462,MSN Philippines News
463,Financial Post
464,Telemanagement
465,Gamepur
466,Forbes
467,PopCrush
468,WebProNews
469,Press Trust of India
470,gulfnews.com
471,SheKnows.com
472,CarterMatt.com
473,Sugarscape
474,San Jose Mercury News
475,Hollywood Reporter
476,Forbes
477,Explosion
478,Business Standard
479,Mobile Burn
481,AVAFIN
483,Yahoo Finance \(blog\)
484,Entertainment Weekly
485,Jezebel
486,Contactmusic.com
487,Newser
488,RTT News
489,Joystiq
490,The Post-Standard
491,Hamilton Spectator
492,Global Times
493,Investorplace.com
494,Columbus Dispatch
495,GamingBolt
496,gulfnews.com
497,TmoNews
498,NBC Bay Area
500,International Business Times UK
501,Digital Spy
502,BREATHEcast
503,The Futon Critic
504,Hot Hardware
505,Contactmusic.com
506,Ticker Report
507,Tulsa World
508,International Business Times
509,AceShowbiz
510,Auto World News
511,ValueWalk
512,Businessweek
513,Las Vegas Review-Journal
514,Businessweek
515,TIME
516,The Stir
517,BDlive
518,A.V. Club
519,Us Magazine
520,ZDNet
521,Emag.co.uk
522,USA TODAY
523,Android Headlines - Android News
524,Salt Lake Tribune
525,OpEdNews
526,Refinery29
527,UPI.com
528,City Index
529,The Globe and Mail
530,Belfast Telegraph
531,Forbes
532,The Times \(subscription\)
533,Forbes
534,Gizmodo UK
535,Product Reviews
536,The Consumerist
537,Metro
538,BGR
539,City Index
540,Recombu
541,MacroBusiness \(blog\)
542,Law360 \(subscription\)
543,New York Daily News
544,Boston Globe
545,Pocket-lint.com
546,24\/7 Wall St.
547,Independent Online
548,Indian Express
549,NZ City
550,www.worldbulletin.net
551,Daily Mail
553,Emag.co.uk
554,Businessinsider India
555,Co.Design
556,NEWS.com.au
557,TIME
558,WDRB
559,Middletown Press
560,Worcester Telegram
561,89.3 KPCC
562,Engadget
563,fox6now.com
564,Mac Rumors
565,Forbes
566,Austin Chronicle
567,WebProNews
568,"International Business Times, India Edition"
569,Daily Mail
570,The Stir
571,Hollywood Life
572,BDlive
573,SheKnows.com
574,Latin Post
575,Cambio
576,The Guardian
577,The Verge
578,ValueWalk
579,WSET
580,Latin Post
581,International Financing Review
582,CBS Local
583,BGR
584,Windsor Star
585,Latin Post
586,NDTV
587,Wired.co.uk
588,MSN Money
589,Broadcasting \& Cable
591,The Inquisitr
592,Daily Life
593,Stereogum
594,Mediaite
595,Newsday
596,MyBroadband
597,Latin Times
598,PJ Media
599,CarterMatt.com
600,Sky News Australia
601,Business Insider
602,Belfast Telegraph
603,MTV UK
604,Enstarz
605,Seattle Post Intelligencer \(blog\)
606,Explosion
607,NEWS.com.au
608,Billboard
609,Contactmusic.com
610,Hollywood Reporter
611,Android Community
612,The Plain Dealer
613,Android Headlines - Android News
614,Tom's Guide
615,USA TODAY
616,Hollywood Reporter
618,Europe Online Magazine
619,Game Front
620,CNBC.com
621,Contactmusic.com
622,International Business Times
623,The Japan Times
624,CNBC.com
625,New York Post
626,TechHive
627,Bloomberg View
628,Businessweek
629,Montreal Gazette
630,Telegraph.co.uk
631,BBC News
632,Newsmax.com
633,Refinery29
634,Vancouver Sun
635,Headlines \& Global News
636,USA TODAY
637,Motley Fool
638,Key 103 Manchester
639,NBC Bay Area
640,Digital Spy UK
641,Digital Spy UK
642,Reverb MSN Music \(blog\)
643,io9
644,Toronto Star
645,Classicalite
646,24\/7 Wall St.
647,The Oregonian
648,Forbes
649,J-14 Magazine
650,Investorplace.com
651,San Francisco Chronicle \(blog\)
652,Parade
653,Us Magazine
654,The Independent
655,CBS News
657,Bloomberg
658,USA TODAY
659,FashionUnited.co.uk
660,Reality TV World
661,TopNews United States
662,Bloomberg
663,VG247
664,ValueWalk
665,MarketWatch
666,CNNMoney \(press release\)
667,Binary Tribune
668,The Periscope Post
669,Motley Fool
670,Benzinga
671,UPI.com
672,Headlines \& Global News
673,MTV.com
674,Ubergizmo
675,New York Daily News
676,Entertainment Weekly
677,GossipCop
678,The Epoch Times
679,CarterMatt.com
680,GameSpot
681,Auto World News
682,The Japan Times
683,HitFix
684,BGR
685,Businessweek
686,CBC.ca
687,Contactmusic.com
688,Businessinsider India
689,VentureBeat
690,Billboard
691,WDRB
692,The Consumerist
693,TheStreet.com
694,TIME
695,MotoringCrunch
696,The Malay Mail Online
697,KFBK
698,MSN NZ News
699,CNBC.com
700,Engadget
701,Businessweek
702,The Patriot-News
703,International Business Times UK
704,Businessweek
705,Snark Food
706,PCGamesN
707,Forbes
708,Independent Online
709,Businessweek
710,The Independent
711,NBC Southern California
712,Entertainment Weekly \(blog\)
713,BBC News
714,Cape Breton Post
715,New York Post
716,Dose.ca
717,RTT News
718,MSN Philippines News
719,PC Magazine
720,WSET
721,MarketWatch
722,NBC Bay Area
723,DailyFinance
724,Toronto Star
725,UPI.com
726,Herald Scotland
727,ConsumerAffairs
728,Gulf Times
729,Hollywood Reporter
730,SheKnows.com
731,VG247
732,RTE.ie
733,The Daily Voice
734,Manufacturing.net
735,WKBT La Crosse
736,WDRB
737,AceShowbiz
738,Gamasutra
739,TheWrap
740,Denver Post
741,antiMUSIC.com
742,CNBC.com
743,Wall Street Pit
744,Al Jazeera America
745,kdvr.com
746,CMR
747,Philly.com
748,Daily Life
749,New York Daily News
750,The Epoch Times
751,Hollywood Reporter
752,Independent Online
753,BDlive
754,Huntington Herald Dispatch
755,The Asian Age
756,TIME
757,AppAdvice
758,The Independent
759,Telegraph.co.uk
760,AceShowbiz
761,Life \& Style Weekly
762,Computerandvideogames.com
763,indiatvnews.com
764,Toronto Star
765,International Business Times
766,RTT News
767,Motley Fool
768,South China Morning Post
769,Gulf Times
770,The Sun
771,Mideast Time
772,Variety
773,BDlive
774,iClarified
775,International Business Times UK
776,CBC.ca
777,DailyFinance
778,Liliputing
779,Hamilton Spectator
780,stv.tv
781,Auckland stuff.co.nz
782,Headlines \& Global News
783,Broadcasting \& Cable
784,CBS Local
785,Digital Spy UK
787,South China Morning Post
788,Daily Gadgetry
789,Co.Exist
790,Hamilton Spectator
791,Movie Fanatic
792,TIME
793,Droid Report
794,VG247
795,Guyism
796,Bloomberg
797,The Frisky
798,Vulture
799,Modern Readers
800,Newsday
801,Central Banking \(subscription\)
802,Mashable
803,GamingBolt
804,Seattle Post Intelligencer \(blog\)
805,USA TODAY
806,iWantPop
807,Tom's Guide
808,KTVN
809,Variety
810,Contactmusic.com
811,Newsmax.com
812,gulfnews.com
813,Advanced Television
814,Castanet.net
815,The Stir
816,Guide2Derby
817,Business Standard
818,TIME
819,Press Herald
820,Motley Fool
821,Parade
822,Toledo Blade
823,GeekWire
824,Digital Spy
825,Cinema Blend
826,Fox News
827,Lawyer Herald
828,About - News \& Issues
829,TIME
830,Deccan Chronicle
831,ValueWalk
832,Broadway World
833,ValueWalk
834,Forbes
835,CNBC.com
836,Mashable
837,Forbes
838,Vanity Fair
839,Hamilton Spectator
840,SlashGear
841,Businessweek
842,Motley Fool
843,Computerandvideogames.com \(blog\)
844,AOL Autos
845,Billboard
846,The Star Online
847,Enstarz
848,Modern Readers
849,Zimbio
850,The Age
851,Cinema Blend
852,Entertainment Weekly
853,WDRB
854,Broadway World
855,Christian Science Monitor
856,Paste Magazine
857,GossipCop
858,The Province
859,PopCrush
860,Babble
861,Washington Times
862,New York Daily News
863,Jezebel
864,Business Spectator
865,The Periscope Post
866,Contactmusic.com
867,Gamenguide
868,Guyism
869,Stuff.co.nz
870,NPR \(blog\)
871,Boston Globe
872,Polygon
873,International Business Times UK
874,PC Magazine
875,NEWS.com.au
876,AceShowbiz
877,Capsule Computers
878,Billboard
879,Geeky gadgets
880,WDRB
881,PJ Media
882,International Business Times
883,Headlines \& Global News
884,The Fiscal Times
885,The Inquisitr
886,Business Standard
887,Reveal
888,Contactmusic.com
889,Gothamist
890,International Business Times UK
891,CBS News
892,Buenos Aires Herald
893,STLtoday.com
894,CarterMatt.com
895,AusGamers
896,CP24 Toronto's Breaking News
897,Deseret News
898,Extra
899,The Stir
900,Slate Magazine \(blog\)
901,Fox News
902,Jezebel
903,Latin Times
904,Entertainmentwise
905,USA TODAY
906,Ocala
907,Gawker
908,Businessweek
909,International Business Times UK
910,Gizmodo UK
911,Macgasm
912,Mashable
913,KFBK
914,Motley Fool
915,Engadget
916,UPI.com
917,International Financing Review
918,Auckland stuff.co.nz
919,The Periscope Post
920,Stuff.co.nz
921,ValueWalk
922,Reality TV World
923,The Malay Mail Online
924,TheHDRoom
926,Daily Life
927,International Business Times UK
928,SBS
929,NEWS.com.au
930,ZDNet
931,VentureBeat
932,ReadWrite
933,New York Post
934,CBS Local
935,Toronto Star
936,Dose.ca
937,Irish Independent
938,Law360 \(subscription\)
939,Autoblog \(blog\)
940,AceShowbiz
941,Hedgeworld \(subscription\)
942,Metal.com News
943,Hypable
944,CNET
945,USA TODAY
946,Contactmusic.com
947,Auto World News
948,NEWS.com.au
949,ZDNet
950,Newsday
951,USA TODAY
952,The Escapist
954,RollingStone.com
955,International Business Times
956,Christian Science Monitor
957,Mashable
958,kfor.com
959,Business Standard
960,Reality Rewind
961,HyperVocal
962,Worcester Telegram
963,Game Front
964,A.V. Club Denver\/Boulder
965,Fox News
966,Daily Mail
967,Seattle Post Intelligencer \(blog\)
968,VentureBeat
969,MarketWatch
970,E Canada Now
971,TruthDive
972,Digital Spy
973,Student Operated Press
974,Belfast Telegraph
975,CarterMatt.com
976,Idolator\: All About The Music
977,UPI.com
978,Bloomberg
979,TechnoBuffalo
980,Tuscaloosa News \(subscription\)
981,NEWS.com.au
982,Metalbulletin.com \(subscription\)
983,Mediaite
984,AceShowbiz
985,PCR-online.biz
986,Deadline.com
987,Express.co.uk
988,People's Daily Online
989,Law360 \(subscription\)
990,The Nation. \(blog\)
991,Us Magazine
992,UPI.com
993,Geeky gadgets
994,Business Insider
995,Philadelphia Magazine \(blog\)
996,fuse.tv
997,Philly.com
998,Key 103 Manchester
999,Franchise Herald
1000,NYU Washington Square News
1001,Gospel Herald
1002,Daily Political
1003,Evening Standard
1004,Noisey \(blog\)
1005,Space.com
1006,ValueWalk
1007,Los Angeles Daily News
1008,Motley Fool
1009,Yahoo\!7 News
1010,Latin Post
1011,stv.tv
1012,iWantPop
1013,Paste Magazine
1014,Businessinsider India
1015,24\/7 Wall St.
1016,Gamasutra
1017,We Got This Covered
1018,NBC 5 Dallas-Fort Worth
1019,Businessweek
1020,WebProNews
1021,RopeofSilicon.com
1022,Benzinga
1023,Irish Times \(blog\)
1024,Independent Online
1025,USA TODAY
1027,GMA News
1028,bnn.ca
1029,Daily Mail
1030,Globalnews.ca
1031,RTT News
1032,Forbes
1033,BBC News
1034,San Jose Mercury News
1035,Digital Spy
1036,Businessinsider India
1037,Businessweek
1038,The News International
1039,Fox News
1040,Seattle Post Intelligencer \(blog\)
1041,The Guardian
1042,RTT News
1043,The Post-Standard \(blog\)
1044,Mother Nature Network
1045,Music and Lyrics
1046,I Am Rogue.com
1047,Franchise Herald
1048,CBS News
1049,SlashGear
1050,Latin Times
1051,OMG\! Canada \(blog\)
1053,NPR \(blog\)
1054,mediabistro.com
1055,tuaw.com
1056,Christian Post
1057,International Business Times
1058,UPI.com
1059,Computerworld
1060,Engadget
1061,Interactive Investor
1062,Hedgeworld \(subscription\)
1063,Telegraph.co.uk
1064,KMBZ
1065,WebProNews
1066,Contactmusic.com
1067,Investorplace.com
1068,Jezebel
1069,Beauty World News
1070,Us Magazine
1071,New Jersey 101.5 FM Radio
1072,Yahoo Canada Shine \(blog\)
1073,Newsmax.com
1074,Hollywood Reporter
1075,Austin Chronicle
1076,NPR \(blog\)
1077,Contactmusic.com
1078,Geeky gadgets
1079,Daily Mail
1080,Daily Beast
1081,MSN Money
1082,TODAYonline
1083,TheWrap
1084,Engadget
1085,The Japan News
1086,San Francisco Chronicle \(blog\)
1087,Ubergizmo
1088,Headlines \& Global News
1089,Broadway World
1090,Broadway World
1091,Papermag
1092,Daily Mail
1093,Bloomberg
1094,The Mary Sue
1095,The BoomBox
1096,International Business Times
1097,Daily Mail
1098,The Star Online
1099,The Nation. \(blog\)
1100,Variety
1101,Fox News
1103,Toronto Sun
1104,MarketWatch
1105,Business Spectator
1106,Big Hollywood
1107,WebProNews
1108,Variety
1109,SheKnows.com
1110,Newser
1111,Daily Mail
1112,Businessweek
1113,Ticker Report
1114,Global Times
1115,TechHive
1116,OpEdNews
1117,The Inquisitr
1118,Motley Fool
1119,Latinos Post
1120,TheStreet.com
1121,TIME
1123,Macgasm
1124,Daily Beast
1125,Belfast Telegraph
1126,MSN Money
1127,NEWS.com.au
1128,Computerworld Australia
1129,The Guardian
1130,CNNMoney
1131,Deutsche Welle
1132,24\/7 Wall St.
1133,Business Insider
1134,Tuscaloosa News \(subscription\)
1135,International Business Times
1136,bnn.ca
1137,The Globe and Mail
1138,University Herald
1139,TechCrunch
1140,Latin Times
1141,Variety
1142,Newser
1143,The Inquisitr
1144,The Guardian
1145,PC Magazine
1146,Us Magazine
1147,The Patriot-News \(blog\)
1148,Extra
1149,hellomagazine.com
1150,Businessinsider India
1151,gulfnews.com
1152,University Herald
1153,RTT News
1154,Columbus Dispatch
1155,Metro
1156,Inc.com
1157,STLtoday.com
1158,CTV News
1159,Latin Post
1160,GossipCop
1161,The Voice of Russia
1162,WallStreetPR
1163,Total Film
1164,TechnologyTell
1165,Eurogamer.net
1166,MarketWatch
1167,Evening Standard
1168,Binary Tribune
1169,Contactmusic.com
1170,Contactmusic.com
1171,marie claire magazine Australia
1172,Eurogamer.net
1173,WDRB
1174,Business Standard
1175,Press Herald
1176,CTV News
1177,Forbes
1178,BGR
1179,Guide2Derby
1180,The Periscope Post
1181,Fox News
1182,Ubergizmo
1183,ITProPortal
1184,Daily Beast
1185,Advanced Television
1186,WTOP
1187,CNN \(blog\)
1188,Newsday
1189,eNCA
1190,The BoomBox
1191,Financial Post
1192,Contactmusic.com
1193,Irish Independent
1194,The New Republic
1195,The Escapist
1196,Paste Magazine
1197,Reality TV World
1198,Hollywood Reporter
1199,BREATHEcast
1200,ScreenCrush
1201,The Grio
1202,STLtoday.com
1203,Daniels Trading
1204,The Plain Dealer
1205,O'Dwyer's PR News
1206,OMG\! Canada \(blog\)
1207,TODAYonline
1208,Pocket-lint.com
1209,International Business Times
1210,MSN Money
1211,MTV UK
1212,BGR
1213,hypebot.com
1214,Vibe
1215,Motley Fool
1216,Businessweek
1217,MarketWatch
1218,The Stir
1219,India Today
1220,Latino Post
1221,A.V. Club \(blog\)
1222,Reality Tea
1223,Guyism
1224,MediaPost Communications
1225,Refinery29
1226,Yahoo Movies \(blog\)
1227,CBC.ca
1228,RTT News
1229,Toronto Star
1230,Gamenguide
1231,hypebot.com
1232,FinFacts Ireland
1233,Zimbio
1234,Variety
1235,The Periscope Post
1236,San Jose Mercury News
1237,FinFacts Ireland
1238,Polygon
1239,Focus News
1240,MarketWatch
1241,FXstreet.com
1242,TheChronicleHerald.ca
1243,CBS Local
1244,Businessinsider India
1245,TheWrap
1246,International Business Times UK
1247,Benzinga
1248,Local 10
1249,Vulture
1250,Digital Spy
1251,Slate Magazine \(blog\)
1252,Wired
1253,International Business Times
1254,Computerandvideogames.com
1255,The Stir
1256,VatorNews
1257,India Today
1258,Mac Rumors
1259,V3.co.uk
1260,LAPTOP Magazine \(blog\)
1261,Minneapolis Star Tribune
1262,New Jersey 101.5 FM Radio
1263,GameSided
1264,Ubergizmo
1265,bnn.ca
1266,San Francisco Chronicle \(blog\)
1267,WKRB News
1268,Hollywood.com
1269,BuzzSugar.com
1270,iWantPop
1271,Huntington Herald Dispatch
1272,Techsonian \(press release\)
1273,New Yorker \(blog\)
1274,The Times \(subscription\)
1275,Idolator\: All About The Music
1276,ReadWrite
1277,KCRA Sacramento
1278,ValueWalk
1279,The Southland Times
1280,MSN Money
1281,Liliputing
1282,The Escapist
1283,Travel Weekly
1284,Gamepur
1285,The Voice of Russia
1286,Fox News
1287,eNCA
1288,9 to 5 Mac
1289,Bloomberg
1290,Telegraph.co.uk
1291,PCWorld \(blog\)
1292,WDRB
1293,Hypable
1294,WebProNews
1296,Financial Post
1297,Fox News
1298,ValueWalk
1299,Benzinga
1300,Radar Online
1301,24\/7 Wall St.
1302,CNET \(blog\)
1303,Press Trust of India
1304,WDRB
1305,Virtual Press Office \(press release\)
1306,Sydney Morning Herald
1307,The Birmingham News - al.com
1308,Bloomberg View
1309,Eater National
1310,Telemanagement
1311,TechCrunch
1312,Independent Online
1313,Geeky gadgets
1314,The Verge
1315,VentureBeat
1316,"International Business Times, India Edition"
1317,Businessweek
1318,TheStreet.com
1319,Digital Spy
1320,CBS News
1321,The Age
1322,Wonkette \(satire\)
1323,Winston-Salem Journal
1324,Noise11
1325,Daily Mail
1326,Headlines \& Global News
1327,Firstpost
1328,Los Angeles Daily News
1329,Newser
1330,Automotive News
1331,RTT News
1332,Seattle Post Intelligencer \(blog\)
1334,Entertainment Weekly
1335,The Japan News
1336,USA TODAY
1337,Vulture
1338,BuzzFeed
1339,Us Magazine
1340,Marie Claire.co.uk
1341,I Am Rogue.com
1342,Times of India
1343,Europe Online Magazine
1344,Contactmusic.com
1345,International Business Times UK
1346,Gamepur
1347,The Times \(subscription\)
1348,South China Morning Post
1349,The Times Herald
1350,Bloomberg
1351,MarketWatch
1352,Daily Mail
1353,MyFox Austin
1354,STLtoday.com
1355,CNET Australia
1356,Financial Post
1357,The Oregonian
1358,Venture Capital Post
1359,Business Insider
1360,Newser
1361,Times LIVE
1362,ZDNet
1363,Digital Spy UK
1364,Middletown Press
1365,Express.co.uk
1366,SlashGear
1367,Headlines \& Global News
1368,Gulf Times
1369,Contactmusic.com
1370,Bloomberg
1371,TrustedReviews
1372,Den of Geek \(US\)
1373,Telegraph.co.uk
1374,International Business Times
1375,The Almagest
1376,UPI.com
1377,Daily Beast
1378,Daily Mail
1379,Headlines \& Global News
1380,Entertainment Weekly
1381,Computerandvideogames.com
1382,Home Media Magazine
1383,Bloomberg
1384,Geekosystem
1385,Buenos Aires Herald
1386,UPI.com
1387,Forbes
1388,The Independent
1389,Ars Technica
1390,TechRadar UK
1391,AVAFIN
1392,Toledo Blade
1393,New York Post
1394,UT The Daily Texan \(blog\)
1395,GossipCop
1396,New York Post
1397,DailyFinance
1398,The Japan News
1399,Daily Mail
1400,SheKnows.com
1401,Joystiq
1402,The Star-Ledger
1403,Contactmusic.com
1404,NBC 5 Dallas-Fort Worth
1405,Inquirer
1406,GameSpot
1407,24\/7 Wall St.
1408,Hollywood Reporter
1409,Reality TV World
1410,Deadline.com
1411,Deadline.com
1412,New York Daily News
1413,Paste Magazine
1414,The Fiscal Times
1415,Politix
1416,The Inquisitr
1417,CP24 Toronto's Breaking News
1418,Mac Rumors
1419,Polygon
1420,Sugarscape
1421,FierceWireless
1422,Contactmusic.com
1423,The Epoch Times
1424,Enstarz
1425,MarketWatch
1426,Digital Trends
1427,Vulture
1428,Businessweek
1429,RollingStone.com
1430,Techsonian \(press release\)
1431,Entertainment Weekly
1432,Yahoo\!7 News
1433,RTE.ie
1434,The Periscope Post
1435,UPI.com
1436,HitFix
1437,Independent Online
1438,Quartz
1439,StarPhoenix
1440,CBS News
1441,Seattle Post Intelligencer \(blog\)
1442,Broadcasting \& Cable
1443,Bleeding Cool News
