Unnamed: 0,Prompt,Completion
120,Action: Walking up to Micah.,"Micah: Oh, hey Arthur.You: What you want, Micah?Micah: Nothing. I'm just being civl, my brother.You: Well, hello there.Micah: You really are a very charming man, aren't you?"
121,Action: Walking up to Micah.,"Micah: How you doing, Arthur?You: Fine, Micah.Micah: Good, I've been really worries about you. I really have.You:Me? Why?Micah: Oh you know, just the usual reasons. I'm here for you brother."
122,Action: Looking at Micah for a while.,Micah: What are you looking at?You: I ain't quite sure.
123,Action: Standing near Micah for a while..,"Micah:What are you lingering about for, cowboy?You: Why don't you gett off your ass and work a little? Goddamn fool."
124,Action: Walking up to Micah.,"Micah: So, you got tired of making money did you, black lung?You: Go to hell.Micah: Well, I guess it's true what they say... you can't take it with you... but Her Strauss... I thought you liked helping the weak and unfortunate.You: You're unfortunate and I don't like helping you.Micah: Very amusing, just try to stop making more trouble for us... some of us are trying to save folk, not make unnecessary... dramas."
125,Action: Walking up to Micah.,"Micah: Oh look, the big dog is here.You: Fool."
126,Action: Walking up to Micah.,Micah: Run along cowboy.You: Hmmm
127,Action: Walking up to Micah.,"Micah: You wanna get shot, Morgan?You: I've seen you in action. From that range, you'll miss.Micah: Oh, I'll wipe that smile off your face one day. Believe me.You: I'd like to see you try."
128,Action: You walk into Susan.,You: Mind your self Susan.
129,Action: You walk into Susan Grimshaw.,You: Forgive me Miss Grimshaw.
130,Action: You approach Susan.,Susan: Good day Mr Morgan.{greet}
132,"Narrative: You greet Susan.You: What do you think of this palce, Susan? Susan: An improvement on the last, that's for sure.You: Well that ain't too hard.Narrative: You greet Susan.","You: Ok well, lets talk more later. Susan: Well see you later."
134,"Narrative: You greet Susan grimshaw.You: You got everything you need, Miss Grimshaw. Susan: Not by a long shot Mr. Morgan, we lost a lot in the move.You: We'll be back on our feet soon.Narrative: You greet Susan.","You: Well i should get back to it. Susan: Alright then, Arthur."
136,"Narrative: You greet Susan.You: Starting to look like home isn't it. Susan: It's taking shape.You: Good Work, Miss Grimshaw.Narrative: You greet Susan.","You: Anyway, I'll head out for a bit now. Susan: Okay."
139,Narrative: You greet Susan.You: Miss.Narrative: You greet Susan.You: Everyone behaving themselves around here? Susan: Hardly.Narrative: You greet Susan.,"You: Well, I'm sure you'll have it under control soon. Susan: Sure."
141,Narrative: You approach Susan.Hi there Arthur.{greet}Narrative: You greet Susan.,You: Susan.
142,Narrative: You greet Susan.,"You: Always good to see you. Susan: Hi, Mr. Morgan."
144,"Narrative: You greet Susan.You: What would we do without you. Susan: Turn feral, I imagine.Narrative: You greet Susan.","You: Just know, we're gratefull. Susan: Alright then, Arthur."
146,Narrative: You greet Susan.You: Managing to keep everyone in line? Susan: I'm doin' my best.Narrative: You greet Susan.,You: Any troublemakers you let me know. Susan: Okay.
147,Narrative: You greet Susan.,You: Hey there.
149,"Narrative: You greet Susan.You: You seem to have everything well in order here. Susan: Oh, I woudn't go that far.Narrative: You greet Susan.",You: Well it looks pretty good to me. Susan: Sounds good Mr. Morgan.
150,Narrative: You greet Susan.,"You: Morning to you. Susan: Hi there, Arthur.{greet}"
157,Narrative: You antagonize Susan.You: The old you would have had this place shipshape in a day. Susan: Don't take that tone with me.Narrative: You defuse the situation.You: I'm only kidding around. Susan: I't wasn't funny ten years ago and it still isn't now.Narrative: You antagonize Susan.You: You're slipping Grimshaw. Susan: When are you going to learn to shut up.{angry} Narrative: You antagonize Susan.,"You: Old age does that to us all dosen't it, you old coot. Susan: Im too busy for this nonesense."
164,"Narrative: You antagonize Susan.You: I remember when you were Dutch's number one, Miss Grimshaw. Susan: Don't start this nonesense.Narrative: You defuse the situation.You: Take it easy.I'm just messing with you. Susan: Well I dont find it very funny.Narrative: You antagonize Susan.You: Always knew you had no sense of humor. Susan: Stop this charade Arthur.Narrative: You defuse the situation.","You: Ok, okay. Im done now, I swear. Susan: I know this stupid game all too well.{angry}"
167,"Narrative: You antagonize Susan.You: There she is, the camp shire horse. Susan: I don't like that tone Arthur.{angry} Narrative: You antagonize Susan.You: Who everybody hates. Susan: Just what is your problem?Narrative: You antagonize Susan.",You: And dreams of killing. Susan: I know to ignore you when you get like this.{walk}
171,"Narrative: You antagonize Susan.You: There she is, the camp shire horse. Susan: I don't like that tone Arthur.Narrative: You defuse the situation.You: I'm only joking with you. Susan: Little boys and their little games.Narrative: You antagonize Susan.You: Who everybody hates. Susan: Just what is your problem?Narrative: You defuse the situation.",You: I'm only joking with you. Susan: Little boys and their little games.{angry}
176,"Narrative: You antagonize Susan.You: You are one tough old boot, ain't you. Susan: Oh, shut up Arthur.Narrative: You defuse the situation.","You: Take it easy, I aint serious. Susan: Well, then leave me be."
177,"Narrative: You antagonize Susan.You: You are one tough old boot, ain't you. Susan: Oh, shut up Arthur.Narrative: You defuse the situation.You: Take it easy, I aint serious. Susan: Well, dont.Narrative: You antagonize Susan.","You: I mean, you make father time seem like a nasty man. Susan: When are you going to act your age.{angry}"
179,Narrative: You antagonize Susan.,"You: I've had enough of you, you sour old hag. Susan: I don't like that tone, Arthur."
181,"Narrative: You antagonize Susan.You: I've had enough of you, you sour old hag. Susan: What did you say to me?Narrative: You antagonize Susan.You: Yes, you heard me right. I called you a sour, old wench. Susan: Why are you acting like this?Narrative: You antagonize Susan.",You: Because I can and you can't stop me. Susan: I will have words with Dutch about this.{walk}
187,"Narrative: You antagonize Susan.You: My Lord, you're old. Susan: Oh, shut up, Arthur.Narrative: You defuse the situation.You: Don't worry i'm just playing with you. Susan: Oh I know this stupid game all too well.Narrative: You antagonize Susan.You: And time has done you a few favours. Susan: Is this meant to be funny? Narrative: You defuse the situation.","You: Sorry, I dont know why I find this so entertaining. Susan: Well I don't.{angry}"
190,"Narrative: You greet Pearson. You: Glad to be off that mountain, Mr. Pearson. Pearson: Yes indeed, Lots to do now. You: Yep, for all of us. Narrative: You greet Pearson.","You: Alright, well, I should be getting on. Pearson: Okay."
192,"Narrative: You greet Pearson. You: All good there, Pearson. Pearson: Still need more food, Mr. Morgan. You should try your luck again with that bow. You: I know , I will. Narrative: You greet Pearson.","You: Well, I should get back to it. Pearson: Sure, well as you were."
198,"Action: You walk near Pearson. You: Good Morning, Mr. Morgan. Narrative: You greet Pearson. You: Mr Pearson. Narrative: You greet Pearson. You: Need any supplies?. Pearson: Always, can never have too much. Narrative: You antagonize Pearson. You: That's because you eat and drink for five men. Pearson: Come on that's enough now. Narrative: You defuse the situation.","You: Take it easy, I'm just needling you. Pearson: Yes, er, very good."
202,"Action: You walk near Pearson. Pearson: Morning Arthur. Narrative: You greet Pearson. You: Thank you, for all your hard work. Pearson: Thank you. Narrative: You greet Pearson.","You: I mean that. Pearson: Yes, yes."
207,"Action: You walk near Pearson. Pearson: Hello, Mr. Morgan. Narrative: You greet Pearson. You: There he is. Narrative: You greet Pearson. You: Thank you for all your work. Pearson: Thank you, Morgan Narrative: You antagonize Pearson. You: You'll make someone a fine wife someday. Pearson: I'm just minding my own business here. Narrative: You defuse the situation.",You: Take it easy I ain't serious. Pearson: How very amusing.
214,"Action: You walk near Pearson. Pearson: Ah, hello, Mr. Morgan. Narrative: You greet Pearson. You: Good morning to you. Narrative: You greet Pearson. You: Don't you ever get fed up with all this? Pearson: Sometimes I suppose. Narrative: You greet Pearson.","You: Well, know you're appreciated round here. Pearson: Sure, Arthur."
217,"Narrative: You greet Pearson. You: Good morning. Pearson: Okay, Mr Morgan. Narrative: You greet Pearson. You: You seem in a good mood. Pearson: Well that's nice of you to say so. Narrative: You greet Pearson.","You: Okay, well maby not then. Pearson: I should do some work."
222,"Narrative: You greet Pearson. You: Hey Pearson. Pearson: Hi there, Arthur. Narrative: You greet Pearson. You: The last stew I had was pretty damn good. Pearson: Glad to hear it. Narrative: You greet Pearson.",You: We'll make a cook of you yet. Pearson: Okay.
226,"Narrative: You greet Pearson. You: Hey. Narrative: You greet Pearson. You: You seem to be in a good mood. Pearson: I do? Well that's nice of you to say so. Narrative: You antagonize Pearson. You: Well, I see how much you really hate yourself. Pearson: Oh, just what I need. Narrative: You defuse the situation.",You: Don't worry I'm just playing with you. Pearson: Yes I know your games by now.
233,"Action: You walk near Pearson. Pearson: Oh, hello. Narrative: You greet Pearson. You: Hello. Narrative: You greet Pearson. You: Thank you for all your work. Pearson: Thank you Mr. Morgan. Sometimes, I suppose. Narrative: You antagonize Pearson. You: You'll make someone a fine wife someday. Pearson: Don't Arthur, come on. Narrative: You defuse the situation.","You: I'm only joking with you. Pearson: Er, well, good then. I think."
236,"Narrative: You greet Pearson. You: Morning. Pearson: Narrative: You greet Pearson. You: How are things. Pearson: Ahh, I can't complain. Narrative: You greet Pearson.","You: Glad to hear it. Pearson: Yes, yes"
243,"Action: You walk near Pearson. Pearson: Oh, hello. Narrative: You greet Pearson. You: Hello. Narrative: You greet Pearson. You: Don't you ever get fed up with all this? Pearson: Sometimes I suppose. Narrative: You antagonize Pearson. You: I mean your life must've been pretty pathetic if this is an upgrade. Pearson: Oh, just what I need. Narrative: You defuse the situation.","You: Take it easy, I'm just needling you. Pearson: Well, sometimes it's hard to tell."
248,"Action: You walk near Pearson. You: Pearson. Pearson: Arthur. Narrative: You greet Pearson. You: You know too many folk around here take you for granted. Pearson: Well, that's nice of you to say so. Narrative: You greet Pearson.","You: Our own cook, that's fine living. Pearson: I should do some work."
250,"Narrative: You greet Pearson. You: All good there? Pearson: Still need more food, Mr. Morgan. You should try your luck again with that bow. You: I know, I will. Narrative: You greet Pearson.","You: Anyway I won't disturb you. Pearson: Yes, yes."
251,"Action: You walk near Pearson. You: Pearson. Pearson: Arthur. Narrative: You greet Pearson. You: You know too many folk around here take you for granted. Pearson: Well, that's nice of you to say so. Narrative: You antagonize Pearson.","You: Me, I just take you for the fool you are. Pearson: Oh, just what I need."
252,"Action: You walk near Pearson. Pearson: Ah, hello, Mr. Morgan. Narrative: You greet Pearson. You: Good morning to you. Narrative: You greet Pearson. You: Don't you ever get fed up with all this? Pearson: Sometimes I suppose. Narrative: You antagonize Pearson.","You: I mean your life must've been pretty pathetic if this is an upgrade. Pearson: Don't, Arthur, come on."
254,"Narrative: You greet Pearson. You: Hey Pearson. Pearson: Hi there, Arthur. Narrative: You greet Pearson. You: The last stew I had was pretty damn good. Pearson: Glad to hear it. Narrative: You antagonize Pearson. You: Compared with the pig swill you normally serve up. Pearson: Not this again. Narrative: You defuse the situation.","You: Take it easy, I ain't serious. Pearson: Well, sometimes it's hard to tell."
258,"Action: You walk near Pearson. Pearson: Ah, hello, Arthur. Narrative: You antagonize Pearson. You: I've got an idea, Pearson, make something edible. Pearson: I'm just minding my own business here. Narrative: You antagonize Pearson. You: The slop you turn those poor deer into, unbelievable. Pearson: Why do you get like this. Narrative: You antagonize Pearson.",You: Next time you go hunting and I'll murder the cooking. Pearson: Listen I'm not rising to this.{walk}
261,Narrative: You antagonize Pearson. You: I wish you'd stayed at sea. Pearson: Hey what did I do. Narrative: You antagonize Pearson. You: With the other walruses. Pearson: Why are you being like this. Narrative: You antagonize Pearson.,"You: Rather then poisoning us. Pearson: Look, i'm not getting dragged into this.{walk}"
265,"Narrative: You antagonize Pearson. You: So what's for dinner? Dysentary again. Pearson: Hey, come on now. Narrative: You antagonize Pearson. You: No chance of getting fat around here. Pearson: Why have you got a problem with me. Narrative: You antagonize Pearson.","You: At least it smells better comming out then it does going in. Pearson: Okay, I'm just ignore you.{walk}"
268,"Narrative: You antagonize Pearson. You: There he is, the camp pig. Pearson: Oh, just what I need. Narrative: You antagonize Pearson. You: No wonder we're always short of food. Pearson: What's the problem here? Narrative: You antagonize Pearson.",You: You eat it all. Pearson: Look i'm too busy for this.
272,"Narrative: You antagonize Pearson. You: So what's for dinner? Dysentary again. Pearson: Hey, come on now. Narrative: You defuse the situation. You: Come on, I'm only kidding around. Pearson: How very amusing. Narrative: You antagonize Pearson. You: No chance of getting fat around here. Pearson: Why have you got a problem with me. Narrative: You defuse the situation. You: Okay, okay I really am done now. Pearson: Er, well good then. I think. Narrative: You antagonize Pearson.","You: At least it smells better comming out then it does going in. Pearson: Fine, I'll just ignore you."
277,"Narrative: You antagonize Pearson. You: There he is, the camp pig. Pearson: Oh, not this again. Narrative: You defuse the situation. You: Take it easy, I'm just needling you. Pearson: Yes, er, very good. Narrative: You antagonize Pearson. You: No wonder we're always short of food. Pearson: Why are you doing this. Is this meant to be funny. Narrative: You defuse the situation. You: Sorry I just don't know why I find this so damn entertaining. Pearson: How very amusing. Narrative: You antagonize Pearson.","You: You eat it all. Pearson: Okay, you do what you want."
279,"Narrative: You greet Hosea. You:All quiet, Hosea. Hosea: Thankfully, yes. You: Good. Narrative: You greet Hosea.","Okay, well let's talk more later. Hosea: See you later."
281,Narrative: You greet Hosea. You: You were right about this place. It is a good spot. Hosea:It'll do for now. You: For sure. Narrative: You greet Hosea.,"Okay, I'll catch you later then. Hosea: Okay."
283,"Narrative: You greet Hosea. You: What's going on. Hosea: Nothing too much, at this very moment. Narrative: You antagonize Hosea.","You: I only asked, you miseable old bastard. Hosea: Who do you think you are talking to."
286,Narrative: You greet Hosea. You: How did we end up over this way? Hosea: Huh? Narrative: You greet Hosea.,"You: Well, I guess we know the answer to that. Hosea: Thanks."
289,Narrative: You greet Hosea. You: Hosea. Narrative: You greet Hosea. You: Mood seems pretty good around here. Hosea: It does. Narrative: You greet Hosea.,"You: Well, guess we should enjoy it while it lasts. Hosea: Alright, Arthur."
292,"Narrative: You greet Hosea. You: Hosea, how are you. Hosea: Good Morning, Arthur. Narrative: You greet Hosea. You: What's going on, eh? Hosea: Nothing too much, at this very moment. Narrative: You greet Hosea.",You: Okay well...I'll leave you to it. Hosea: Sure Arthur.
295,Narrative: You greet Hosea. You: Good morning to you. Narrative: You greet Hosea. You: Your'e looking good. Hosea: Thank you. Narrative: You greet Hosea.,You: Good to see. Hosea: Okay.
299,"Action: You go near Hosea. Hosea: How are you today Arthur. Narrative: You greet Hosea. You: Hello. Narrative: You greet Hosea. You: Everything okay? Hosea: Well, I'm still alive. Narrative: You greet Hosea.","You: Well, let's keep it that way. Hosea: Thanks."
301,"Narrative: You greet Hosea. You: How did we end up over this way? Hosea: Huh? Narrative: You antagonize Hosea. You: Actually, don't answer that. Don't need you moaning at me for an hour. Hosea: Is that supposed to be funny? Narrative: You defuse the situation.","You: I'm only joking with you. Hosea: Try to keep it together, Arthur."
304,"Action: You go near Hosea. Hosea: Good morning, Arthur. Narrative: You greet Hosea. You: You okay?. Hosea: {calmdown} Narrative: You greet Hosea.","You: Everything alright. Hosea: Well, I'm still alive."
309,"Narrative: You go near Hosea. Hosea: Good day Arthur. Narrative: You greet Hosea. You: Morning to you too. Hosea: {fingergun} Narrative: You greet Hosea. You: What's going on? Hosea: Nothing too much, at this very moment. Narrative: You antagonize Hosea. You: I only asked, you miseable old bastard. Hosea: Now you need to watch your mouth. Narrative: You defuse the situation.","You: Take it easy, I'm just needling you. Hosea: Is that supposed to be amusing?"
312,Narrative: You greet Hosea. You: Mood seem's pretty good around here. Hosea: It does. Narrative: You antagonize Hosea.,You: . Hosea: 
313,Narrative: You antagonize Hosea.,"You: Hey, there. Hosea: {ThumbsUp}"
315,"Narrative: You greet Hosea. You: Mood seem's pretty good around here. Hosea: It does. Narrative: You antagonize Hosea. You: Apart from your sour face, of course. Hosea: Why don't we talk about your problems eh? Narrative: You defuse the situation.","You: Don't worry, I'm just playing with you. Hosea: What is going with you?"
317,Action: You go near Hosea. Hosea: {Waves}. Narrative: You greet Hosea.,You: Hey there. Hosea: {fingergun}
325,"Narrative: You greet Hosea. You: Hey. Narrative: You greet Hosea. You: Everything okay. Hosea: Well I'm still alive. Narrative: You antagonize Hosea. You: You just love feeliing sorry for yourself, don't you? Hosea: I'm about the only one who stand's up for you. Narrative: You defuse the situation.",You: I'm only kidding around. Hosea: You need to get your'e head straight.
329,Narrative: You greet Hosea. You: Hey there. Hosea: Hello. Narrative: You greet Hosea. You: How are you doing. Hosea: As well as can be expected. Narrative: You greet Hosea.,You: Glad to hear it. Hosea: Alright Arthur. 
331,"Narrative: You greet Hosea. You: All quiet, Hosea. Hosea: Thankfully, yes. You: Good. Narrative: You greet Hosea.","You: Okay, well let's talk more later. Hosea: Sure, Arthur."
334,"Narrative: You greet Hosea. You: Looking good. Hosea: Thanks. Narrative: You greet Hosea. You: I mean, considering you usually look like you've got one foot in the grave. Hosea: Now you need to watch your mouth. Narrative: You defuse the situation.",You: I'm only kidding around. Hosea: What is going on with you.
337,Narrative: You antagonize Hosea. You: So you get to read while everyone else is working off. Hosea: I'm about the only one round here who stand's up for you. Narrative: You antagonize Hosea. You: One rule for you and another for the rest of us. Hosea: What in the hell's your problem. Narrative: You antagonize Hosea.,You: Some things never change. Lazy bastard. Hosea: I'm not wasting anymore attention on you right now.
340,"Narrative: You antagonize Hosea. You: I used to really look up to you, Hosea. Hosea: Is that supposed to be funny. Narrative: You antagonize Hosea. You: You and Dutch both. Hosea: What's wrong with you? Narrative: You antagonize Hosea.",You: But I seen through the pair of you. Hosea: I'm just going to ignore you.
343,"Narrative: You antagonize Hosea. You: You miserable old grump. Hosea: Why dont we talk about you'r problems, huh? Narrative: You antagonize Hosea. You: Yes, you, Hosea. Hosea: What is your issue. Narrative: You antagonize Hosea.",You: Kinda depressing actually. Hosea: This is a waste of time.
348,"Narrative: You antagonize Hosea. You: Look around, we've made it, like you always said we would. Hosea: Who do you think you are talkinig to? Narrative: You antagonize Hosea. You: Twenty years of robbing, and still liviing in tents like vagrants. Hosea: What's your problem. Narrative: You antagonize Hosea.","You: I'm sorry, I'm starting to sound like you. Hosea: You're not getting a rise outta me."
350,Narrative: You antagonize Hosea. You: You ever gonna stop going on about the old days? Hosea: What's wrong with you? Narrative: You antagonize Hosea.,"You: I get it, things were better. Hosea: I'm just gonna pretend you're not here."
353,"Narrative: You antagonize Hosea. You: Nothing makes you happier then being miserable, does it? Hosea: Now you need to watch your mouth. Narrative: You antagonize Hosea. You: All you do these days is moan. Hosea: What do you want? Narrative: You antagonize Hosea.","You: If you don't liven up, buzzards'll start feeding on you early. Hosea: How about I just ignore you."
